,districtName,year,districtCode,neighborhoodName,sex,count,Latitude_d,Longitude_d,Latitude_n,Longitude_n,totCount,percent,density
153,Nou Barris,2016,08,Canyelles,Male,64,41.44624399686965,2.175060174739923,41.445032990983854,2.1634504252403164,129,49.61,87
154,Nou Barris,2016,08,Ciutat Meridiana,Female,310,41.44624399686965,2.175060174739923,41.46120773644666,2.1748476502321963,626,49.52,294
155,Nou Barris,2016,08,Ciutat Meridiana,Male,316,41.44624399686965,2.175060174739923,41.46120773644666,2.1748476502321963,626,50.48,294
156,Sant Martí,2016,10,Diagonal Mar i el Front Marítim del Poblenou,Female,332,41.407613151742986,2.2012214191471715,41.40527626723875,2.212946160220975,669,49.63,110
157,Sant Martí,2016,10,Diagonal Mar i el Front Marítim del Poblenou,Male,337,41.407613151742986,2.2012214191471715,41.40527626723875,2.212946160220975,669,50.37,110
158,Horta-Guinardó,2016,07,Horta,Female,506,41.42913982673942,2.150530914702001,41.43989049703453,2.1519300593582518,969,52.22,92
159,Horta-Guinardó,2016,07,Horta,Male,463,41.42913982673942,2.150530914702001,41.43989049703453,2.1519300593582518,969,47.78,92
160,Sants-Montjuïc,2016,03,Hostafrancs,Female,505,41.34994863691585,2.1449328518852444,41.37530520232274,2.1442551338978157,1023,49.36,395
161,Sants-Montjuïc,2016,03,Hostafrancs,Male,518,41.34994863691585,2.1449328518852444,41.37530520232274,2.1442551338978157,1023,50.64,395
162,Horta-Guinardó,2016,07,Montbau,Female,134,41.42913982673942,2.150530914702001,41.43526655486181,2.1377609714464327,231,58.01,25
163,Horta-Guinardó,2016,07,Montbau,Male,97,41.42913982673942,2.150530914702001,41.43526655486181,2.1377609714464327,231,41.99,25
164,Sant Andreu,2016,09,Navas,Female,470,41.43505454638585,2.1933091722750544,41.418000357719286,2.18594837935314,913,51.48,529
165,Sant Andreu,2016,09,Navas,Male,443,41.43505454638585,2.1933091722750544,41.418000357719286,2.18594837935314,913,48.52,529
166,Les Corts,2016,04,Pedralbes,Female,366,41.386969710556954,2.1182139026232667,41.39103220541373,2.110191000394158,735,49.8,44
167,Les Corts,2016,04,Pedralbes,Male,369,41.386969710556954,2.1182139026232667,41.39103220541373,2.110191000394158,735,50.2,44
168,Nou Barris,2016,08,Porta,Female,618,41.44624399686965,2.175060174739923,41.43486708443896,2.1787852978448257,1166,53.0,332
169,Nou Barris,2016,08,Porta,Male,548,41.44624399686965,2.175060174739923,41.43486708443896,2.1787852978448257,1166,47.0,332
170,Sant Martí,2016,10,Provençals del Poblenou,Female,407,41.407613151742986,2.2012214191471715,41.41112317574039,2.2026296597676445,805,50.56,196
171,Sant Martí,2016,10,Provençals del Poblenou,Male,398,41.407613151742986,2.2012214191471715,41.41112317574039,2.2026296597676445,805,49.44,196
172,Sant Andreu,2016,09,Sant Andreu,Female,896,41.43505454638585,2.1933091722750544,41.436938420308536,2.1902329330593058,1750,51.2,313
173,Sant Andreu,2016,09,Sant Andreu,Male,854,41.43505454638585,2.1933091722750544,41.436938420308536,2.1902329330593058,1750,48.8,313
174,Eixample,2016,02,Sant Antoni,Female,1079,41.39162181574575,2.1644883081819466,41.37851257064619,2.159341487853878,2146,50.28,484
175,Eixample,2016,02,Sant Antoni,Male,1067,41.39162181574575,2.1644883081819466,41.37851257064619,2.159341487853878,2146,49.72,484
176,Horta-Guinardó,2016,07,Sant Genís dels Agudells,Female,170,41.42913982673942,2.150530914702001,41.425455440358206,2.130116581244354,347,48.99,44
177,Horta-Guinardó,2016,07,Sant Genís dels Agudells,Male,177,41.42913982673942,2.150530914702001,41.425455440358206,2.130116581244354,347,51.01,44
178,Sarrià-Sant Gervasi,2016,05,Sant Gervasi - Galvany,Female,1228,41.412773594643824,2.106121049753216,41.39745161788423,2.1430104123588483,2269,54.12,287
179,Sarrià-Sant Gervasi,2016,05,Sant Gervasi - Galvany,Male,1041,41.412773594643824,2.106121049753216,41.39745161788423,2.1430104123588483,2269,45.88,287
180,Sarrià-Sant Gervasi,2016,05,Sant Gervasi - la Bonanova,Female,597,41.412773594643824,2.106121049753216,41.409801295218585,2.1301825460017407,1123,53.16,117
181,Sarrià-Sant Gervasi,2016,05,Sant Gervasi - la Bonanova,Male,526,41.412773594643824,2.106121049753216,41.409801295218585,2.1301825460017407,1123,46.84,117
182,Sant Martí,2016,10,Sant Martí de Provençals,Female,535,41.407613151742986,2.2012214191471715,41.41686188607197,2.1980064426553256,1037,51.59,356
183,Sant Martí,2016,10,Sant Martí de Provençals,Male,502,41.407613151742986,2.2012214191471715,41.41686188607197,2.1980064426553256,1037,48.41,356
184,Ciutat Vella,2016,01,"Sant Pere, Santa Caterina i la Ribera",Female,1167,41.38084295838007,2.181049163164951,41.38679469587465,2.1834306190041723,2377,49.1,209
185,Ciutat Vella,2016,01,"Sant Pere, Santa Caterina i la Ribera",Male,1210,41.38084295838007,2.181049163164951,41.38679469587465,2.1834306190041723,2377,50.9,209
186,Sants-Montjuïc,2016,03,Sants,Female,1201,41.34994863691585,2.1449328518852444,41.377464761115434,2.136349314597411,2322,51.72,399
187,Sants-Montjuïc,2016,03,Sants,Male,1121,41.34994863691585,2.1449328518852444,41.377464761115434,2.136349314597411,2322,48.28,399
188,Sants-Montjuïc,2016,03,Sants - Badal,Female,724,41.34994863691585,2.1449328518852444,41.374648571568606,2.127722311736889,1366,53.0,601
