,year,districtCode,districtName,neighborhoodCode,neighborhoodName,population,areaHA,residetialAreaHA,density,residentialDencity
307,2016,3,Sants-Montjuïc,16,la Bordeta,18512,57.7,,342,897
308,2016,3,Sants-Montjuïc,17,Sants - Badal,23906,41.1,,601,951
309,2016,3,Sants-Montjuïc,18,Sants,40785,109.8,,399,734
310,2016,4,Les Corts,19,les Corts,45932,141.3,,331,704
311,2016,4,Les Corts,20,la Maternitat i Sant Ramon,23848,190.3,,125,731
312,2016,4,Les Corts,21,Pedralbes,11862,270.2,,44,144
313,2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4632,1152.2,,4,52
314,2016,5,Sarrià-Sant Gervasi,23,Sarrià,24799,304.2,,83,258
315,2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,16473,78.8,,211,387
316,2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25665,223.5,,117,313
317,2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,47089,165.9,,287,493
318,2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29368,84.6,,357,552
319,2016,6,Gràcia,28,Vallcarca i els Penitents,15591,120.9,,130,333
320,2016,6,Gràcia,29,el Coll,7391,35.8,,215,596
321,2016,6,Gràcia,30,la Salut,13118,64.3,,208,684
322,2016,6,Gràcia,31,la Vila de Gràcia,50584,132.6,,385,606
