districtName,5YearAge,year,districtCode,neighborhoodCode,neighborhoodName,count
Sant Martí,20-24,2015,10,65,el Clot,118
Sant Martí,20-24,2015,10,66,el Parc i la Llacuna del Poblenou,161
Sant Martí,20-24,2015,10,67,la Vila Olímpica del Poblenou,35
Sant Martí,20-24,2015,10,68,el Poblenou,103
Sant Martí,20-24,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,51
Sant Martí,20-24,2015,10,70,el Besòs i el Maresme,152
Sant Martí,20-24,2015,10,71,Provençals del Poblenou,85
Sant Martí,20-24,2015,10,72,Sant Martí de Provençals,99
Sant Martí,20-24,2015,10,73,la Verneda i la Pau,107
Ciutat Vella,25-29,2015,1,1,el Raval,1242
Ciutat Vella,25-29,2015,1,2,el Barri Gòtic,580
Ciutat Vella,25-29,2015,1,3,la Barceloneta,414
Ciutat Vella,25-29,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",684
Eixample,25-29,2015,2,5,el Fort Pienc,445
Eixample,25-29,2015,2,6,la Sagrada Família,803
Eixample,25-29,2015,2,7,la Dreta de l'Eixample,705
Eixample,25-29,2015,2,8,l'Antiga Esquerra de l'Eixample,742
Eixample,25-29,2015,2,9,la Nova Esquerra de l'Eixample,841
Eixample,25-29,2015,2,10,Sant Antoni,520
Sants-Montjuïc,25-29,2015,3,11,el Poble Sec,628
Sants-Montjuïc,25-29,2015,3,12,la Marina del Prat Vermell,3
Sants-Montjuïc,25-29,2015,3,13,la Marina de Port,212
Sants-Montjuïc,25-29,2015,3,14,la Font de la Guatlla,184
Sants-Montjuïc,25-29,2015,3,15,Hostafrancs,239
Sants-Montjuïc,25-29,2015,3,16,la Bordeta,167
Sants-Montjuïc,25-29,2015,3,17,Sants - Badal,291
Sants-Montjuïc,25-29,2015,3,18,Sants,528
Les Corts,25-29,2015,4,19,les Corts,398
Les Corts,25-29,2015,4,20,la Maternitat i Sant Ramon,259
Les Corts,25-29,2015,4,21,Pedralbes,81
Sarrià-Sant Gervasi,25-29,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",25
Sarrià-Sant Gervasi,25-29,2015,5,23,Sarrià,145
Sarrià-Sant Gervasi,25-29,2015,5,24,les Tres Torres,58
Sarrià-Sant Gervasi,25-29,2015,5,25,Sant Gervasi - la Bonanova,167
Sarrià-Sant Gervasi,25-29,2015,5,26,Sant Gervasi - Galvany,313
Sarrià-Sant Gervasi,25-29,2015,5,27,el Putxet i el Farró,281
Gràcia,25-29,2015,6,28,Vallcarca i els Penitents,134
Gràcia,25-29,2015,6,29,el Coll,74
Gràcia,25-29,2015,6,30,la Salut,91
Gràcia,25-29,2015,6,31,la Vila de Gràcia,872
Gràcia,25-29,2015,6,32,el Camp d'en Grassot i Gràcia Nova,377
Horta-Guinardó,25-29,2015,7,33,el Baix Guinardó,238
Horta-Guinardó,25-29,2015,7,34,Can Baró,93
Horta-Guinardó,25-29,2015,7,35,el Guinardó,302
Horta-Guinardó,25-29,2015,7,36,la Font d'en Fargues,29
Horta-Guinardó,25-29,2015,7,37,el Carmel,192
Horta-Guinardó,25-29,2015,7,38,la Teixonera,71
Horta-Guinardó,25-29,2015,7,39,Sant Genís dels Agudells,42
Horta-Guinardó,25-29,2015,7,40,Montbau,38
Horta-Guinardó,25-29,2015,7,41,la Vall d'Hebron,31
Horta-Guinardó,25-29,2015,7,42,la Clota,4
Horta-Guinardó,25-29,2015,7,43,Horta,143
Nou Barris,25-29,2015,8,44,Vilapicina i la Torre Llobeta,147
Nou Barris,25-29,2015,8,45,Porta,155
Nou Barris,25-29,2015,8,46,el Turó de la Peira,120
Nou Barris,25-29,2015,8,47,Can Peguera,3
Nou Barris,25-29,2015,8,48,la Guineueta,64
Nou Barris,25-29,2015,8,49,Canyelles,22
Nou Barris,25-29,2015,8,50,les Roquetes,116
Nou Barris,25-29,2015,8,51,Verdun,103
Nou Barris,25-29,2015,8,52,la Prosperitat,175
Nou Barris,25-29,2015,8,53,la Trinitat Nova,60
Nou Barris,25-29,2015,8,54,Torre Baró,16
Nou Barris,25-29,2015,8,55,Ciutat Meridiana,82
Nou Barris,25-29,2015,8,56,Vallbona,11
Sant Andreu,25-29,2015,9,57,la Trinitat Vella,100
Sant Andreu,25-29,2015,9,58,Baró de Viver,10
Sant Andreu,25-29,2015,9,59,el Bon Pastor,78
Sant Andreu,25-29,2015,9,60,Sant Andreu,281
Sant Andreu,25-29,2015,9,61,la Sagrera,192
Sant Andreu,25-29,2015,9,62,el Congrés i els Indians,104
Sant Andreu,25-29,2015,9,63,Navas,168
Sant Martí,25-29,2015,10,64,el Camp de l'Arpa del Clot,408
Sant Martí,25-29,2015,10,65,el Clot,213
Sant Martí,25-29,2015,10,66,el Parc i la Llacuna del Poblenou,158
Sant Martí,25-29,2015,10,67,la Vila Olímpica del Poblenou,69
Sant Martí,25-29,2015,10,68,el Poblenou,285
Sant Martí,25-29,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,81
Sant Martí,25-29,2015,10,70,el Besòs i el Maresme,240
Sant Martí,25-29,2015,10,71,Provençals del Poblenou,148
Sant Martí,25-29,2015,10,72,Sant Martí de Provençals,167
Sant Martí,25-29,2015,10,73,la Verneda i la Pau,156
Ciutat Vella,30-34,2015,1,1,el Raval,958
Ciutat Vella,30-34,2015,1,2,el Barri Gòtic,347
