neighborhoodName,year,districtCode,districtName,neighborhoodCode,placeOfDestination,count
el Carmel,2015,7,Horta-Guinardó,37,Islas Baleares,19
la Teixonera,2015,7,Horta-Guinardó,38,Islas Baleares,9
Sant Genís dels Agudells,2015,7,Horta-Guinardó,39,Islas Baleares,7
Montbau,2015,7,Horta-Guinardó,40,Islas Baleares,2
la Vall d'Hebron,2015,7,Horta-Guinardó,41,Islas Baleares,2
la Clota,2015,7,Horta-Guinardó,42,Islas Baleares,0
Horta,2015,7,Horta-Guinardó,43,Islas Baleares,18
Vilapicina i la Torre Llobeta,2015,8,Nou Barris,44,Islas Baleares,12
Porta,2015,8,Nou Barris,45,Islas Baleares,17
el Turó de la Peira,2015,8,Nou Barris,46,Islas Baleares,7
Can Peguera,2015,8,Nou Barris,47,Islas Baleares,0
la Guineueta,2015,8,Nou Barris,48,Islas Baleares,4
Canyelles,2015,8,Nou Barris,49,Islas Baleares,0
les Roquetes,2015,8,Nou Barris,50,Islas Baleares,11
Verdun,2015,8,Nou Barris,51,Islas Baleares,7
la Prosperitat,2015,8,Nou Barris,52,Islas Baleares,17
la Trinitat Nova,2015,8,Nou Barris,53,Islas Baleares,6
Torre Baró,2015,8,Nou Barris,54,Islas Baleares,0
Ciutat Meridiana,2015,8,Nou Barris,55,Islas Baleares,3
Vallbona,2015,8,Nou Barris,56,Islas Baleares,0
la Trinitat Vella,2015,9,Sant Andreu,57,Islas Baleares,4
Baró de Viver,2015,9,Sant Andreu,58,Islas Baleares,0
el Bon Pastor,2015,9,Sant Andreu,59,Islas Baleares,10
Sant Andreu,2015,9,Sant Andreu,60,Islas Baleares,23
la Sagrera,2015,9,Sant Andreu,61,Islas Baleares,14
el Congrés i els Indians,2015,9,Sant Andreu,62,Islas Baleares,9
Navas,2015,9,Sant Andreu,63,Islas Baleares,16
el Camp de l'Arpa del Clot,2015,10,Sant Martí,64,Islas Baleares,27
el Clot,2015,10,Sant Martí,65,Islas Baleares,21
el Parc i la Llacuna del Poblenou,2015,10,Sant Martí,66,Islas Baleares,21
la Vila Olímpica del Poblenou,2015,10,Sant Martí,67,Islas Baleares,11
el Poblenou,2015,10,Sant Martí,68,Islas Baleares,35
Diagonal Mar i el Front Marítim del Poblenou,2015,10,Sant Martí,69,Islas Baleares,7
el Besòs i el Maresme,2015,10,Sant Martí,70,Islas Baleares,15
Provençals del Poblenou,2015,10,Sant Martí,71,Islas Baleares,16
Sant Martí de Provençals,2015,10,Sant Martí,72,Islas Baleares,22
la Verneda i la Pau,2015,10,Sant Martí,73,Islas Baleares,13
el Raval,2015,1,Ciutat Vella,1,Canarias,43
el Barri Gòtic,2015,1,Ciutat Vella,2,Canarias,20
la Barceloneta,2015,1,Ciutat Vella,3,Canarias,7
"Sant Pere, Santa Caterina i la Ribera",2015,1,Ciutat Vella,4,Canarias,28
el Fort Pienc,2015,2,Eixample,5,Canarias,23
la Sagrada Família,2015,2,Eixample,6,Canarias,34
la Dreta de l'Eixample,2015,2,Eixample,7,Canarias,20
l'Antiga Esquerra de l'Eixample,2015,2,Eixample,8,Canarias,15
la Nova Esquerra de l'Eixample,2015,2,Eixample,9,Canarias,31
Sant Antoni,2015,2,Eixample,10,Canarias,16
el Poble Sec,2015,3,Sants-Montjuïc,11,Canarias,39
la Marina del Prat Vermell,2015,3,Sants-Montjuïc,12,Canarias,0
la Marina de Port,2015,3,Sants-Montjuïc,13,Canarias,11
la Font de la Guatlla,2015,3,Sants-Montjuïc,14,Canarias,7
Hostafrancs,2015,3,Sants-Montjuïc,15,Canarias,11
la Bordeta,2015,3,Sants-Montjuïc,16,Canarias,5
Sants - Badal,2015,3,Sants-Montjuïc,17,Canarias,16
Sants,2015,3,Sants-Montjuïc,18,Canarias,19
les Corts,2015,4,Les Corts,19,Canarias,25
la Maternitat i Sant Ramon,2015,4,Les Corts,20,Canarias,21
Pedralbes,2015,4,Les Corts,21,Canarias,6
"Vallvidrera, el Tibidabo i les Planes",2015,5,Sarrià-Sant Gervasi,22,Canarias,0
Sarrià,2015,5,Sarrià-Sant Gervasi,23,Canarias,11
les Tres Torres,2015,5,Sarrià-Sant Gervasi,24,Canarias,5
Sant Gervasi - la Bonanova,2015,5,Sarrià-Sant Gervasi,25,Canarias,8
Sant Gervasi - Galvany,2015,5,Sarrià-Sant Gervasi,26,Canarias,15
el Putxet i el Farró,2015,5,Sarrià-Sant Gervasi,27,Canarias,11
Vallcarca i els Penitents,2015,6,Gràcia,28,Canarias,4
el Coll,2015,6,Gràcia,29,Canarias,3
la Salut,2015,6,Gràcia,30,Canarias,5
la Vila de Gràcia,2015,6,Gràcia,31,Canarias,32
el Camp d'en Grassot i Gràcia Nova,2015,6,Gràcia,32,Canarias,14
el Baix Guinardó,2015,7,Horta-Guinardó,33,Canarias,2
Can Baró,2015,7,Horta-Guinardó,34,Canarias,5
el Guinardó,2015,7,Horta-Guinardó,35,Canarias,10
la Font d'en Fargues,2015,7,Horta-Guinardó,36,Canarias,0
el Carmel,2015,7,Horta-Guinardó,37,Canarias,9
la Teixonera,2015,7,Horta-Guinardó,38,Canarias,5
Sant Genís dels Agudells,2015,7,Horta-Guinardó,39,Canarias,2
Montbau,2015,7,Horta-Guinardó,40,Canarias,1
la Vall d'Hebron,2015,7,Horta-Guinardó,41,Canarias,2
la Clota,2015,7,Horta-Guinardó,42,Canarias,1
Horta,2015,7,Horta-Guinardó,43,Canarias,6
Vilapicina i la Torre Llobeta,2015,8,Nou Barris,44,Canarias,15
Porta,2015,8,Nou Barris,45,Canarias,15
el Turó de la Peira,2015,8,Nou Barris,46,Canarias,2
Can Peguera,2015,8,Nou Barris,47,Canarias,1
la Guineueta,2015,8,Nou Barris,48,Canarias,4
Canyelles,2015,8,Nou Barris,49,Canarias,4
les Roquetes,2015,8,Nou Barris,50,Canarias,6
Verdun,2015,8,Nou Barris,51,Canarias,6
la Prosperitat,2015,8,Nou Barris,52,Canarias,15
la Trinitat Nova,2015,8,Nou Barris,53,Canarias,2
Torre Baró,2015,8,Nou Barris,54,Canarias,3
Ciutat Meridiana,2015,8,Nou Barris,55,Canarias,3
Vallbona,2015,8,Nou Barris,56,Canarias,0
la Trinitat Vella,2015,9,Sant Andreu,57,Canarias,2
Baró de Viver,2015,9,Sant Andreu,58,Canarias,0
el Bon Pastor,2015,9,Sant Andreu,59,Canarias,3
Sant Andreu,2015,9,Sant Andreu,60,Canarias,15
la Sagrera,2015,9,Sant Andreu,61,Canarias,10
el Congrés i els Indians,2015,9,Sant Andreu,62,Canarias,0
Navas,2015,9,Sant Andreu,63,Canarias,5
el Camp de l'Arpa del Clot,2015,10,Sant Martí,64,Canarias,14
el Clot,2015,10,Sant Martí,65,Canarias,9
el Parc i la Llacuna del Poblenou,2015,10,Sant Martí,66,Canarias,6
la Vila Olímpica del Poblenou,2015,10,Sant Martí,67,Canarias,10
el Poblenou,2015,10,Sant Martí,68,Canarias,17
Diagonal Mar i el Front Marítim del Poblenou,2015,10,Sant Martí,69,Canarias,3
el Besòs i el Maresme,2015,10,Sant Martí,70,Canarias,3
Provençals del Poblenou,2015,10,Sant Martí,71,Canarias,4
Sant Martí de Provençals,2015,10,Sant Martí,72,Canarias,10
la Verneda i la Pau,2015,10,Sant Martí,73,Canarias,5
el Raval,2015,1,Ciutat Vella,1,Cantabria,4
el Barri Gòtic,2015,1,Ciutat Vella,2,Cantabria,5
la Barceloneta,2015,1,Ciutat Vella,3,Cantabria,1
"Sant Pere, Santa Caterina i la Ribera",2015,1,Ciutat Vella,4,Cantabria,3
el Fort Pienc,2015,2,Eixample,5,Cantabria,6
la Sagrada Família,2015,2,Eixample,6,Cantabria,3
la Dreta de l'Eixample,2015,2,Eixample,7,Cantabria,4
l'Antiga Esquerra de l'Eixample,2015,2,Eixample,8,Cantabria,6
