,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
237,Les Corts,2015,4,19,les Corts,15-19,28
238,Les Corts,2015,4,20,la Maternitat i Sant Ramon,15-19,18
239,Les Corts,2015,4,21,Pedralbes,15-19,21
240,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",15-19,3
241,Sarrià-Sant Gervasi,2015,5,23,Sarrià,15-19,31
242,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,15-19,12
243,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,15-19,19
244,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,15-19,35
245,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,15-19,24
246,Gràcia,2015,6,28,Vallcarca i els Penitents,15-19,10
247,Gràcia,2015,6,29,el Coll,15-19,4
248,Gràcia,2015,6,30,la Salut,15-19,16
249,Gràcia,2015,6,31,la Vila de Gràcia,15-19,21
250,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,15-19,15
251,Horta-Guinardó,2015,7,33,el Baix Guinardó,15-19,18
252,Horta-Guinardó,2015,7,34,Can Baró,15-19,10
253,Horta-Guinardó,2015,7,35,el Guinardó,15-19,32
254,Horta-Guinardó,2015,7,36,la Font d'en Fargues,15-19,7
255,Horta-Guinardó,2015,7,37,el Carmel,15-19,40
256,Horta-Guinardó,2015,7,38,la Teixonera,15-19,9
257,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,15-19,13
258,Horta-Guinardó,2015,7,40,Montbau,15-19,5
259,Horta-Guinardó,2015,7,41,la Vall d'Hebron,15-19,3
260,Horta-Guinardó,2015,7,42,la Clota,15-19,1
261,Horta-Guinardó,2015,7,43,Horta,15-19,23
262,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,15-19,17
263,Nou Barris,2015,8,45,Porta,15-19,25
264,Nou Barris,2015,8,46,el Turó de la Peira,15-19,20
265,Nou Barris,2015,8,47,Can Peguera,15-19,7
266,Nou Barris,2015,8,48,la Guineueta,15-19,10
267,Nou Barris,2015,8,49,Canyelles,15-19,4
268,Nou Barris,2015,8,50,les Roquetes,15-19,31
269,Nou Barris,2015,8,51,Verdun,15-19,11
270,Nou Barris,2015,8,52,la Prosperitat,15-19,29
271,Nou Barris,2015,8,53,la Trinitat Nova,15-19,10
272,Nou Barris,2015,8,54,Torre Baró,15-19,9
273,Nou Barris,2015,8,55,Ciutat Meridiana,15-19,26
274,Nou Barris,2015,8,56,Vallbona,15-19,3
275,Sant Andreu,2015,9,57,la Trinitat Vella,15-19,17
276,Sant Andreu,2015,9,58,Baró de Viver,15-19,3
277,Sant Andreu,2015,9,59,el Bon Pastor,15-19,14
278,Sant Andreu,2015,9,60,Sant Andreu,15-19,39
279,Sant Andreu,2015,9,61,la Sagrera,15-19,25
280,Sant Andreu,2015,9,62,el Congrés i els Indians,15-19,11
281,Sant Andreu,2015,9,63,Navas,15-19,19
282,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,15-19,34
